date,stringency_index
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,2.78
1/24/2020,2.78
1/25/2020,2.78
1/26/2020,2.78
1/27/2020,2.78
1/28/2020,2.78
1/29/2020,2.78
1/30/2020,8.33
1/31/2020,19.44
2/1/2020,19.44
2/2/2020,19.44
2/3/2020,19.44
2/4/2020,19.44
2/5/2020,19.44
2/6/2020,19.44
2/7/2020,19.44
2/8/2020,19.44
2/9/2020,19.44
2/10/2020,19.44
2/11/2020,19.44
2/12/2020,19.44
2/13/2020,19.44
2/14/2020,19.44
2/15/2020,19.44
2/16/2020,19.44
2/17/2020,19.44
2/18/2020,19.44
2/19/2020,19.44
2/20/2020,19.44
2/21/2020,27.78
2/22/2020,37.04
2/23/2020,64.35
2/24/2020,64.35
2/25/2020,64.35
2/26/2020,64.35
2/27/2020,64.35
2/28/2020,64.35
2/29/2020,64.35
3/1/2020,64.35
3/2/2020,69.91
3/3/2020,69.91
3/4/2020,72.69
3/5/2020,74.54
3/6/2020,74.54
3/7/2020,74.54
3/8/2020,74.54
3/9/2020,74.54
3/10/2020,79.63
3/11/2020,82.41
3/12/2020,82.41
3/13/2020,82.41
3/14/2020,82.41
3/15/2020,82.41
3/16/2020,82.41
3/17/2020,82.41
3/18/2020,82.41
3/19/2020,82.41
3/20/2020,85.19
3/21/2020,85.19
3/22/2020,85.19
3/23/2020,85.19
3/24/2020,85.19
3/25/2020,85.19
3/26/2020,85.19
3/27/2020,85.19
3/28/2020,85.19
3/29/2020,85.19
3/30/2020,85.19
3/31/2020,85.19
4/1/2020,85.19
4/2/2020,85.19
4/3/2020,85.19
4/4/2020,85.19
4/5/2020,85.19
4/6/2020,85.19
4/7/2020,85.19
4/8/2020,85.19
4/9/2020,85.19
4/10/2020,87.96
4/11/2020,87.96
4/12/2020,93.52
4/13/2020,93.52
4/14/2020,93.52
4/15/2020,93.52
4/16/2020,93.52
4/17/2020,93.52
4/18/2020,93.52
4/19/2020,93.52
4/20/2020,93.52
4/21/2020,93.52
4/22/2020,93.52
4/23/2020,93.52
4/24/2020,93.52
4/25/2020,93.52
4/26/2020,93.52
4/27/2020,93.52
4/28/2020,93.52
4/29/2020,93.52
4/30/2020,93.52
5/1/2020,93.52
5/2/2020,93.52
5/3/2020,93.52
5/4/2020,75
5/5/2020,75
5/6/2020,75
5/7/2020,75
5/8/2020,75
5/9/2020,75
5/10/2020,75
5/11/2020,75
5/12/2020,75
5/13/2020,75
5/14/2020,75
5/15/2020,75
5/16/2020,78.7
5/17/2020,78.7
5/18/2020,67.59
5/19/2020,67.59
5/20/2020,67.59
5/21/2020,67.59
5/22/2020,67.59
5/23/2020,67.59
5/24/2020,67.59
5/25/2020,67.59
5/26/2020,67.59
5/27/2020,67.59
5/28/2020,67.59
5/29/2020,67.59
5/30/2020,67.59
5/31/2020,67.59
6/1/2020,67.59
6/2/2020,67.59
6/3/2020,67.59
6/4/2020,67.59
6/5/2020,67.59
6/6/2020,67.59
6/7/2020,67.59
6/8/2020,67.59
6/9/2020,67.59
6/10/2020,67.59
6/11/2020,67.59
6/12/2020,67.59
6/13/2020,67.59
6/14/2020,67.59
6/15/2020,67.59
6/16/2020,67.59
6/17/2020,67.59
6/18/2020,67.59
6/19/2020,67.59
6/20/2020,67.59
6/21/2020,67.59
6/22/2020,67.59
6/23/2020,67.59
6/24/2020,67.59
6/25/2020,67.59
6/26/2020,67.59
6/27/2020,67.59
6/28/2020,67.59
6/29/2020,67.59
6/30/2020,67.59
7/1/2020,67.59
7/2/2020,67.59
7/3/2020,67.59
7/4/2020,67.59
7/5/2020,67.59
7/6/2020,67.59
7/7/2020,67.59
7/8/2020,67.59
7/9/2020,67.59
7/10/2020,67.59
7/11/2020,67.59
7/12/2020,67.59
7/13/2020,67.59
7/14/2020,67.59
7/15/2020,67.59
7/16/2020,67.59
7/17/2020,67.59
7/18/2020,67.59
7/19/2020,67.59
7/20/2020,67.59
7/21/2020,67.59
7/22/2020,67.59
7/23/2020,67.59
7/24/2020,67.59
7/25/2020,67.59
7/26/2020,67.59
7/27/2020,63.89
7/28/2020,63.89
7/29/2020,63.89
7/30/2020,63.89
7/31/2020,63.89
8/1/2020,64.81
8/2/2020,64.81
8/3/2020,64.81
8/4/2020,64.81
8/5/2020,64.81
8/6/2020,64.81
8/7/2020,64.81
8/8/2020,64.81
8/9/2020,64.81
8/10/2020,64.81
8/11/2020,64.81
8/12/2020,64.81
8/13/2020,64.81
8/14/2020,64.81
8/15/2020,64.81
8/16/2020,64.81
8/17/2020,68.52
8/18/2020,68.52
8/19/2020,68.52
8/20/2020,68.52
8/21/2020,68.52
8/22/2020,68.52
8/23/2020,68.52
8/24/2020,68.52
8/25/2020,68.52
8/26/2020,68.52
8/27/2020,68.52
8/28/2020,68.52
8/29/2020,68.52
8/30/2020,68.52
8/31/2020,68.52
9/1/2020,68.52
